iteration;time_ms;energy_uj;stages
0;22962;952770755;Initial
5;21538;970305805;Initial
10;25412;878040111;Exploration
15;22867;867329139;Exploration
20;19800;826461446;Exploration
25;18557;831017587;Exploration
30;15007;838933766;Exploration
35;12288;824167751;Mature
40;12536;829277418;Mature
45;12187;829114454;Mature
50;12155;829877942;Mature
55;11810;829023268;Mature
60;12097;833369082;Mature
65;12502;823634854;Mature
70;12909;813170709;Mature
75;12378;825011071;Mature
80;11604;805019546;Mature
85;11753;784409674;Mature
90;11593;782990428;Mature
95;12805;813650566;Mature
100;11620;786487733;Mature
