iteration;time_ms;energy_uj;stages
0;22240;1173058886;Initial_Initial
5;23014;1080571513;Initial_Initial
10;25369;1314384025;Exploration_Exploration
15;22111;1201609228;Exploration_Exploration
20;22443;1271749003;Exploration_Exploration
25;20515;1140253551;Exploration_Exploration
30;19278;1111999900;Exploration_Exploration
35;15554;1080981913;Exploration_Exploration
40;13506;1060984711;Exploration_Exploration
45;13547;1032224592;Mature_Mature
50;13210;1027143916;Mature_Mature
55;13387;1030137072;Mature_Mature
60;14215;1024803285;Mature_Mature
65;14074;1011392919;Mature_Mature
70;13226;1008154218;Mature_Mature
75;13957;1018948564;Mature_Mature
80;14050;1010815100;Mature_Mature
85;14034;1021378488;Mature_Mature
90;13936;1013490448;Mature_Mature
95;13963;1017163961;Mature_Mature
100;14104;1017825275;Mature_Mature
