iteration;time_ms;energy_uj;stages
0;7681;562757226;Initial
5;9052;596898985;Initial
10;14373;660033711;Exploration
15;17628;555455792;Exploration
20;14537;465097137;Exploration
25;10547;393648895;Exploration
30;7569;306531624;Exploration
35;12312;436908427;Mature
40;8727;175114481;Mature
45;6542;270578348;Mature
50;6395;446024126;Mature
55;6388;444096214;Mature
60;6272;260972720;Mature
65;6702;469616412;Mature
70;6082;249906038;Mature
75;7291;510558019;Mature
80;5929;244809127;Mature
85;6453;267858506;Mature
90;6258;257663403;Mature
95;7223;513047576;Mature
100;6566;272915561;Mature
