iteration;time_ms;energy_uj;stages
0;12968;1238494144;Initial_Initial
5;18671;1320156471;Initial_Initial
10;20839;1592964306;Exploration_Exploration
15;13661;1182236110;Exploration_Exploration
20;14715;1442703033;Exploration_Exploration
25;13350;1479544186;Exploration_Exploration
30;9600;1314008233;Exploration_Exploration
35;11398;1457137077;Mature_Mature
40;10959;1419223539;Mature_Mature
45;10933;1526044922;Mature_Mature
50;7293;827277302;Mature_Mature
55;8068;1198657271;Mature_Mature
60;8041;1075078547;Mature_Mature
65;8346;1119545230;Mature_Mature
70;7098;851590166;Mature_Mature
75;8135;1221145983;Mature_Mature
80;8544;1167674317;Mature_Mature
85;7403;828153275;Mature_Mature
90;7253;932049921;Mature_Mature
95;7776;1188633309;Mature_Mature
100;7110;825216576;Mature_Mature
