iteration;time_ms;energy_uj;stages
0;16124;1467285123;Initial_Initial_Initial
5;16674;1496012405;Initial_Initial_Initial
10;20000;1819611858;Exploration_Exploration_Exploration
15;19593;1789880000;Exploration_Exploration_Exploration
20;13598;1660460410;Exploration_Exploration_Exploration
25;15304;1617580271;Exploration_Exploration_Exploration
30;13332;1473851330;Exploration_Exploration_Exploration
35;10000;1378149792;Exploration_Exploration_Exploration
40;9653;1276559965;Mature_Mature_Exploration
45;9445;1269632492;Mature_Mature_Exploration
50;9615;1259862253;Mature_Mature_Exploration
55;9008;1217189634;Mature_Mature_Exploration
60;9885;1298719575;Mature_Mature_Mature
65;8563;1197493150;Mature_Mature_Mature
70;11469;1535558936;Mature_Mature_Mature
75;9840;1250857821;Mature_Mature_Mature
80;9364;1291237601;Mature_Mature_Mature
85;8882;1210968214;Mature_Mature_Mature
90;8985;1222086837;Mature_Mature_Mature
95;8845;1201307472;Mature_Mature_Mature
100;9407;1279658101;Mature_Mature_Mature
