iteration;time_ms;energy_uj;stages
0;71751;5757852325;Initial
5;73481;5464992052;Initial
10;68018;5823327561;Exploration
15;68487;5376617828;Exploration
20;61126;5780926546;Exploration
25;57552;5835669692;Exploration
30;56400;5650954954;Mature
35;54628;5839172674;Mature
40;53938;5919555463;Mature
45;59237;5291996035;Mature
50;59249;5273181202;Mature
55;56929;5555262268;Mature
60;53493;5650024171;Mature
65;58805;5321044056;Mature
70;60151;5169325817;Mature
75;61428;4979634286;Mature
80;51853;6152871822;Mature
85;60434;5140881859;Mature
90;58843;5338391546;Mature
95;59904;5216177687;Mature
100;56796;5578775208;Mature
