iteration;time_ms;energy_uj;stages
0;84805;7498126130;Initial_Initial
5;86063;6755907265;Initial_Initial
10;80471;7064961833;Exploration_Exploration
15;93615;6620044149;Exploration_Exploration
20;87962;6649339118;Exploration_Exploration
25;82765;6640831999;Exploration_Exploration
30;111688;6865444827;Mature_Mature
35;73429;6769591007;Mature_Mature
40;76673;6602519596;Mature_Mature
45;75594;6703091849;Mature_Mature
50;77259;6698835512;Mature_Mature
55;71040;6319081114;Mature_Mature
60;77774;6819587827;Mature_Mature
65;77055;6662237706;Mature_Mature
70;85001;6840633855;Mature_Mature
75;75358;6724982357;Mature_Mature
80;75269;6766374158;Mature_Mature
85;73626;6708214638;Mature_Mature
90;72055;6788075395;Mature_Mature
95;78117;6752184680;Mature_Mature
100;71414;7676215029;Mature_Mature
