iteration;time_ms;energy_uj;stages
0;87994;7314849499;Initial_Initial_Initial
5;83504;8275844475;Initial_Initial_Initial
10;80103;8513191463;Exploration_Exploration_Exploration
15;75806;8500882779;Exploration_Exploration_Exploration
20;81684;7184917214;Exploration_Exploration_Exploration
25;83511;8507186474;Exploration_Exploration_Exploration
30;70504;8336597738;Mature_Mature_Mature
35;72372;8094683623;Mature_Mature_Mature
40;68935;8012729365;Mature_Mature_Mature
45;75328;7555181586;Mature_Mature_Mature
50;65949;7893725214;Mature_Mature_Mature
55;71385;7732263164;Mature_Mature_Mature
60;76091;7233246986;Mature_Mature_Mature
65;82680;7431232440;Mature_Mature_Mature
70;71747;7581164552;Mature_Mature_Mature
75;64693;7827750591;Mature_Mature_Mature
80;69191;7680161674;Mature_Mature_Mature
85;68461;7959676278;Mature_Mature_Mature
90;73304;7835708029;Mature_Mature_Mature
95;78686;7427280486;Mature_Mature_Mature
100;65999;7954887655;Mature_Mature_Mature
