iteration;time_ms;energy_uj;stages
0;86231;9599706259;Initial_Initial_Initial_Initial
5;84119;9535623660;Initial_Initial_Initial_Initial
10;89395;9133388300;Exploration_Exploration_Exploration_Exploration
15;86515;9397858937;Exploration_Exploration_Exploration_Exploration
20;86865;9459811782;Exploration_Exploration_Exploration_Exploration
25;86681;9383118496;Exploration_Exploration_Exploration_Exploration
30;93798;9531158950;Exploration_Exploration_Exploration_Exploration
35;75360;9581576790;Mature_Mature_Mature_Mature
40;75958;9456293419;Mature_Mature_Mature_Mature
45;79113;9502302151;Mature_Mature_Mature_Mature
50;75946;9561910336;Mature_Mature_Mature_Mature
55;76246;9503137293;Mature_Mature_Mature_Mature
60;76002;9409486776;Mature_Mature_Mature_Mature
65;84600;9345839112;Mature_Mature_Mature_Mature
70;75184;9671679281;Mature_Mature_Mature_Mature
75;87506;7744537974;Mature_Mature_Mature_Mature
80;76174;9688275857;Mature_Mature_Mature_Mature
85;79761;9767636860;Mature_Mature_Mature_Mature
90;76578;9583593020;Mature_Mature_Mature_Mature
95;76477;9556521068;Mature_Mature_Mature_Mature
100;77092;9644241668;Mature_Mature_Mature_Mature
