iteration;time_ms;energy_uj;stages
0;123308;11664798690;Initial_Initial_Initial_Initial_Initial
5;119413;12967161079;Initial_Initial_Initial_Initial_Initial
10;120805;12758053460;Exploration_Exploration_Exploration_Exploration_Exploration
15;112521;12315841275;Exploration_Exploration_Exploration_Exploration_Exploration
20;115996;13025498454;Exploration_Exploration_Exploration_Exploration_Exploration
25;110680;13179081557;Exploration_Exploration_Exploration_Exploration_Exploration
30;114986;13240108318;Exploration_Exploration_Exploration_Exploration_Exploration
35;117004;12423156551;Exploration_Exploration_Exploration_Exploration_Exploration
40;111153;13110850958;Exploration_Exploration_Exploration_Exploration_Exploration
45;117727;12524983744;Exploration_Exploration_Exploration_Exploration_Exploration
50;121199;12018981621;Mature_Mature_Exploration_Mature_Mature
55;118043;13794365932;Mature_Exploration_Mature_Mature_Mature
60;118875;11277969358;Mature_Mature_Mature_Mature_Mature
65;129978;11332192547;Mature_Mature_Mature_Mature_Mature
70;116024;12588198853;Mature_Mature_Mature_Mature_Mature
75;111607;12213683027;Mature_Mature_Mature_Mature_Mature
80;111449;13247284508;Mature_Mature_Mature_Mature_Mature
85;113396;13030138701;Mature_Mature_Mature_Mature_Mature
90;112892;12120300759;Mature_Mature_Mature_Mature_Mature
95;114618;12492790345;Mature_Mature_Mature_Mature_Mature
100;112381;12255687802;Mature_Mature_Mature_Mature_Mature
