iteration;time_ms;energy_uj;stages
0;39151;1509935649;Initial
5;36092;1334258974;Initial
10;44030;1341950544;Exploration
15;41366;1378761851;Exploration
20;39222;1366576519;Exploration
25;31555;1340940537;Exploration
30;23625;1212353159;Mature
35;23239;1057166178;Mature
40;24354;1041428852;Mature
45;24362;1039057704;Mature
50;25326;1052346671;Mature
55;24786;1045771126;Mature
60;25498;1053490345;Mature
65;25092;1049807188;Mature
70;26041;1054524461;Mature
75;25151;1048197390;Mature
80;24653;1043401077;Mature
85;24171;1037848234;Mature
90;24517;1043091629;Mature
95;24599;1040418601;Mature
100;24972;1047752383;Mature
