iteration;time_ms;energy_uj;stages
0;45065;2971923483;Initial_Initial_Initial_Initial
5;43472;3015483491;Initial_Initial_Initial_Initial
10;34078;2946007778;Exploration_Exploration_Exploration_Exploration
15;41138;3143226084;Exploration_Exploration_Exploration_Exploration
20;33394;3274353251;Exploration_Exploration_Exploration_Exploration
25;36187;3313314088;Exploration_Exploration_Exploration_Exploration
30;30739;3536461833;Exploration_Exploration_Exploration_Exploration
35;35144;3798656291;Mature_Exploration_Exploration_Exploration
40;33294;3594177323;Mature_Mature_Exploration_Exploration
45;29591;3355821243;Mature_Mature_Exploration_Mature
50;29675;3238387584;Mature_Mature_Mature_Mature
55;31664;3284429336;Mature_Mature_Mature_Mature
60;31445;3000839974;Mature_Mature_Mature_Mature
65;36329;3508461966;Mature_Mature_Mature_Mature
70;34861;3249017561;Mature_Mature_Mature_Mature
75;33226;3385178529;Mature_Mature_Mature_Mature
80;31474;3056190662;Mature_Mature_Mature_Mature
85;33299;2993507717;Mature_Mature_Mature_Mature
90;32016;3190567759;Mature_Mature_Mature_Mature
95;30505;3423188930;Mature_Mature_Mature_Mature
100;28608;3518365871;Mature_Mature_Mature_Mature
