iteration;time_ms;energy_uj;stages
0;28018;594299382;Initial
5;4395;458796067;Initial
10;4180;429403564;Exploration
15;4658;409085317;Exploration
20;25277;549969479;Exploration
25;5827;422362200;Exploration
30;4776;435527999;Mature
35;4057;426595588;Mature
40;21474;535085727;Mature
45;17136;465233795;Mature
50;17124;462347327;Mature
55;4586;482470444;Mature
60;4403;327467606;Mature
65;5456;336246637;Mature
70;8135;358477415;Mature
75;11644;427394230;Mature
80;2932;442680996;Mature
85;10166;422828935;Mature
90;5790;505898729;Mature
95;12017;436926494;Mature
100;2833;443791405;Mature
