iteration;time_ms;energy_uj;stages
0;29979;1843120465;Initial_Initial
5;28162;1964846594;Initial_Initial
10;27245;1917424351;Exploration_Exploration
15;21967;1896897121;Exploration_Exploration
20;18992;1971830279;Exploration_Exploration
25;16991;2004291378;Exploration_Exploration
30;16474;1699734113;Mature_Mature
35;18114;2071636054;Mature_Mature
40;16145;2140558240;Mature_Mature
45;15429;1894759615;Mature_Mature
50;16839;1610391324;Mature_Mature
55;15771;2034111064;Mature_Mature
60;18154;2105379498;Mature_Mature
65;17165;1604953899;Mature_Mature
70;15824;1990997528;Mature_Mature
75;17170;1636021325;Mature_Mature
80;15285;2051529050;Mature_Mature
85;17606;1593166149;Mature_Mature
90;15754;2034006634;Mature_Mature
95;15288;2031175769;Mature_Mature
100;18041;1888217273;Mature_Mature
