iteration;time_ms;energy_uj;stages
0;6322;822603973;Initial
5;13864;811634458;Initial
10;20244;891398597;Exploration
15;16336;862015860;Exploration
20;12622;809689090;Exploration
25;8325;787144591;Exploration
30;4254;769731672;Mature
35;4431;733062577;Mature
40;4823;705260340;Mature
45;4518;671139151;Mature
50;4526;671277395;Mature
55;4629;684609820;Mature
60;4575;677632237;Mature
65;4598;680060515;Mature
70;4599;681757226;Mature
75;4557;674558698;Mature
80;4522;673282150;Mature
85;4531;672948594;Mature
90;4651;686805249;Mature
95;4538;673961837;Mature
100;4478;665809819;Mature
