iteration;time_ms;energy_uj;stages
0;30750;1530147756;Initial
5;28704;1463293495;Initial
10;28762;1526976560;Exploration
15;24070;1484291733;Exploration
20;20488;1507944321;Exploration
25;18366;1524360599;Exploration
30;15678;1530350087;Mature
35;17036;1570602485;Mature
40;16008;1581285808;Mature
45;16007;1585722137;Mature
50;15990;1586993740;Mature
55;14991;1660836996;Mature
60;18909;1532705244;Mature
65;19201;1528017085;Mature
70;19684;1510767739;Mature
75;19186;1511886083;Mature
80;19364;1521408031;Mature
85;19576;1520811170;Mature
90;19277;1515626980;Mature
95;16696;1588670005;Mature
100;19673;1508506698;Mature
