iteration;time_ms;energy_uj;stages
0;131355;11127199298;Initial_Initial_Initial
5;126277;10902015670;Initial_Initial_Initial
10;125421;11000845922;Exploration_Exploration_Exploration
15;177573;9690054844;Exploration_Exploration_Exploration
20;143909;9562159359;Exploration_Exploration_Exploration
25;143891;11209341543;Exploration_Exploration_Exploration
30;147124;9466800228;Mature_Mature_Mature
35;126188;9829556501;Mature_Mature_Mature
40;146679;9590662093;Mature_Mature_Mature
45;124339;11336389558;Mature_Mature_Mature
50;137206;10419248046;Mature_Mature_Mature
55;132657;12144778419;Mature_Mature_Mature
60;143577;10037089661;Mature_Mature_Mature
65;136551;11044344834;Mature_Mature_Mature
70;168853;8945121510;Mature_Mature_Mature
75;138353;10582598030;Mature_Mature_Mature
80;123697;11156257817;Mature_Mature_Mature
85;126677;10485475355;Mature_Mature_Mature
90;128794;9947200182;Mature_Mature_Mature
95;140651;10716004976;Mature_Mature_Mature
100;133958;14292897919;Mature_Mature_Mature
