iteration;time_ms;energy_uj;stages
0;2722;142845581;Initial
5;1790;125189926;Initial
10;3700;96325681;Exploration
15;2856;111760273;Exploration
20;3114;129759068;Exploration
25;4766;123332326;Exploration
30;4592;122091729;Exploration
35;1600;102388715;Mature
40;1614;109482935;Mature
45;1586;109285792;Mature
50;1612;109067897;Mature
55;2297;92533698;Mature
60;1645;110073449;Mature
65;2057;89462540;Mature
70;2038;89661391;Mature
75;1986;89186051;Mature
80;2399;93579411;Mature
85;1571;115986947;Mature
90;1904;88115009;Mature
95;1593;108894863;Mature
100;2638;142050662;Initial
