iteration;time_ms;energy_uj;stages
0;74145;4307810139;Initial_Initial
5;72784;4764235790;Initial_Initial
10;84678;4410131471;Exploration_Exploration
15;93947;5178592151;Exploration_Exploration
20;485064;59667805746;Exploration_Exploration
25;46233;4660264436;Exploration_Exploration
30;512648;62852875778;Exploration_Exploration
35;56782;3919046242;Mature_Mature
40;56461;3896467991;Mature_Mature
45;56920;4060040327;Mature_Mature
50;45555;3640288472;Mature_Mature
55;46871;3600873228;Mature_Mature
60;40728;3625861445;Mature_Mature
65;47023;4039018469;Mature_Mature
70;41622;3716845526;Mature_Mature
75;43818;3659326143;Mature_Mature
80;44961;3886760192;Mature_Mature
85;41130;3721495172;Mature_Mature
90;41316;3634877231;Mature_Mature
95;41075;3745104915;Mature_Mature
100;40868;3708439481;Mature_Mature
