iteration;time_ms;energy_uj;stages
0;131045;8316262035;Initial_Initial_Initial_Initial
5;143697;10765599149;Initial_Initial_Initial_Initial
10;120896;11266665677;Exploration_Exploration_Exploration_Exploration
15;120829;9729304439;Exploration_Exploration_Exploration_Exploration
20;119032;9744423419;Exploration_Exploration_Exploration_Exploration
25;121690;10118709509;Exploration_Exploration_Exploration_Exploration
30;122353;10544632612;Exploration_Exploration_Exploration_Exploration
35;137737;11016848140;Exploration_Exploration_Mature_Exploration
40;129023;9261857515;Mature_Mature_Mature_Mature
45;123993;9222792369;Mature_Mature_Mature_Mature
50;116139;10357634129;Mature_Mature_Mature_Mature
55;122692;9525449187;Mature_Mature_Mature_Mature
60;114861;10821693976;Mature_Mature_Mature_Mature
65;117391;10640376386;Mature_Mature_Mature_Mature
70;115905;10588789604;Mature_Mature_Mature_Mature
75;122641;9299475583;Mature_Mature_Mature_Mature
80;119415;10885638881;Mature_Mature_Mature_Mature
85;116078;11707549801;Mature_Mature_Mature_Mature
90;133676;9764509792;Mature_Mature_Mature_Mature
95;132895;9374272205;Mature_Mature_Mature_Mature
100;125129;10631420416;Mature_Mature_Mature_Mature
