iteration;time_ms;energy_uj;stages
0;113861;5427702718;Initial
5;89786;3873332369;Initial
10;77183;3738949230;Exploration
15;77428;3607163373;Exploration
20;78430;3833548658;Exploration
25;78966;3746819998;Exploration
30;71737;3600747190;Mature
35;77517;3734554709;Mature
40;59980;3217100284;Mature
45;63044;3126694205;Mature
50;83025;4078994074;Mature
55;67499;3230583343;Mature
60;71508;3059646892;Mature
65;87368;3370799049;Mature
70;75529;3189133621;Mature
75;58228;2989941382;Mature
80;59265;2951336377;Mature
85;65475;3051820251;Mature
90;60240;2956784484;Mature
95;56224;2967001743;Mature
100;70702;4117914262;Mature
