iteration;time_ms;energy_uj;stages
0;15919;581748755;Initial
5;16729;491299706;Initial
10;19844;416842500;Exploration
15;16104;382006408;Exploration
20;15608;365067791;Exploration
25;18313;349079489;Exploration
30;19333;320413425;Mature
35;13414;322776335;Mature
40;19415;320209568;Mature
45;19438;319134925;Mature
50;13515;323558803;Mature
55;13492;323349209;Mature
60;19376;321262361;Mature
65;19375;319501013;Mature
70;13488;322476531;Mature
75;13453;322094085;Mature
80;13460;322871671;Mature
85;19431;321049959;Mature
90;13453;322810880;Mature
95;13445;322623930;Mature
100;19374;321141512;Mature
