iteration;time_ms;energy_uj;stages
0;94928;4040997467;Initial_Initial
5;92207;3915980393;Initial_Initial
10;132245;3364989127;Exploration_Exploration
15;118305;3457366638;Exploration_Exploration
20;123501;3641860550;Exploration_Exploration
25;203021;3930116709;Exploration_Exploration
30;122385;3536179363;Exploration_Mature
35;120114;4082046374;Mature_Mature
40;123667;3833261488;Mature_Mature
45;122389;3530205807;Mature_Mature
50;126766;3884079474;Mature_Mature
55;192533;4290960207;Mature_Mature
60;125013;4006520627;Mature_Mature
65;88377;4997947776;Mature_Mature
70;88347;5017419284;Mature_Mature
75;90857;4609773905;Mature_Mature
80;90991;4605083731;Mature_Mature
85;120678;4194333562;Mature_Mature
90;120884;4167309339;Mature_Mature
95;121228;4183514498;Mature_Mature
100;121113;4185845302;Mature_Mature
