iteration;time_ms;energy_uj;stages
0;147759;11248180738;Initial_Initial_Initial
5;172690;9533069711;Initial_Initial_Initial
10;171140;9441718994;Exploration_Exploration_Exploration
15;155738;8404564299;Exploration_Exploration_Exploration
20;155579;8728806939;Exploration_Exploration_Exploration
25;146069;11239901585;Exploration_Exploration_Exploration
30;158827;8706972339;Exploration_Mature_Exploration
35;161755;8641559725;Mature_Mature_Mature
40;153318;10030860063;Mature_Mature_Mature
45;150370;10564528009;Mature_Mature_Mature
50;148460;10988880132;Mature_Mature_Mature
55;193449;8052278214;Mature_Mature_Mature
60;186934;7816865914;Mature_Mature_Mature
65;156222;10335041475;Mature_Mature_Mature
70;151390;9797455082;Mature_Mature_Mature
75;147111;11080197404;Mature_Mature_Mature
80;165283;9730914420;Mature_Mature_Mature
85;145777;10956552274;Mature_Mature_Mature
90;143130;11180534854;Mature_Mature_Mature
95;146840;11278813167;Mature_Mature_Mature
100;141105;12673739588;Mature_Mature_Mature
