iteration;time_ms;energy_uj;stages
0;5470;457210988;Initial
5;5926;432155632;Initial
10;9104;351264787;Exploration
15;7501;364676435;Exploration
20;10852;368276400;Exploration
25;8183;349607259;Exploration
30;5581;321411653;Exploration
35;8827;347067715;Mature
40;8742;344545444;Mature
45;8824;347115506;Mature
50;8805;344896151;Mature
55;8807;344300998;Mature
60;8774;344005101;Mature
65;8770;344025303;Mature
70;8771;344150791;Mature
75;8744;344486362;Mature
80;8771;343742712;Mature
85;8790;344613132;Mature
90;8803;344015781;Mature
95;8765;344081273;Mature
100;8847;347443263;Mature
