iteration;time_ms;energy_uj;stages
0;20425;1066656998;Initial
5;25754;1054330797;Initial
10;23030;1058598547;Exploration
15;19161;1037327850;Exploration
20;15500;1015230860;Exploration
25;11557;999122931;Exploration
30;6611;981921375;Mature
35;6563;966850613;Mature
40;6631;922751971;Mature
45;6631;922167866;Mature
50;6639;924221572;Mature
55;6764;937904826;Mature
60;6691;931070859;Mature
65;6646;925305859;Mature
70;6744;938163736;Mature
75;6678;931099607;Mature
80;6642;925949289;Mature
85;6641;926144418;Mature
90;6679;929653809;Mature
95;6740;934185841;Mature
100;6747;939272681;Mature
