iteration;time_ms;energy_uj;stages
0;17748;1253977380;Initial_Initial
5;25316;1259967660;Initial_Initial
10;21997;1242362237;Exploration_Exploration
15;18262;1273643467;Exploration_Exploration
20;14467;1302306054;Exploration_Exploration
25;10445;1309896427;Exploration_Exploration
30;8515;1203044039;Exploration_Exploration
35;8301;1134097866;Mature_Mature
40;8165;1121431150;Mature_Mature
45;8304;1134322108;Mature_Mature
50;8314;1134040614;Mature_Mature
55;8336;1138566727;Mature_Mature
60;8325;1137469073;Mature_Mature
65;8306;1135846274;Mature_Mature
70;8321;1136803670;Mature_Mature
75;8312;1136253744;Mature_Mature
80;8340;1138515091;Mature_Mature
85;8297;1136202230;Mature_Mature
90;8317;1137113727;Mature_Mature
95;8302;1135308739;Mature_Mature
100;8315;1136895222;Mature_Mature
