iteration;time_ms;energy_uj;stages
0;23037;1560609957;Initial_Initial_Initial
5;20416;1683761803;Initial_Initial_Initial
10;17591;1618458076;Exploration_Exploration_Exploration
15;17704;1529527517;Exploration_Exploration_Exploration
20;13895;1623213618;Exploration_Exploration_Exploration
25;13846;1614506914;Exploration_Exploration_Exploration
30;14127;1582981177;Exploration_Exploration_Exploration
35;11392;1622866389;Mature_Exploration_Exploration
40;9659;1309238104;Mature_Mature_Exploration
45;10138;1357312932;Mature_Mature_Exploration
50;9728;1315165945;Mature_Mature_Exploration
55;11552;1477234134;Mature_Mature_Mature
60;13476;1602066517;Mature_Mature_Mature
65;15695;1538877957;Mature_Mature_Mature
70;15699;1533558208;Mature_Mature_Mature
75;9947;1535664587;Mature_Mature_Mature
80;9602;1306307141;Mature_Mature_Mature
85;9797;1330664440;Mature_Mature_Mature
90;10587;1428035712;Mature_Mature_Mature
95;12612;1583218482;Mature_Mature_Mature
100;11052;1527491879;Mature_Mature_Mature
