iteration;time_ms;energy_uj;stages
0;2979;305087842;Initial
5;4096;298178070;Initial
10;3899;296137791;Exploration
15;5252;268900496;Exploration
20;7295;317550152;Exploration
25;3273;302945635;Exploration
30;3727;307777715;Exploration
35;1848;302241596;Mature
40;1854;302196859;Mature
45;1841;303130449;Mature
50;1836;303468095;Mature
55;1843;303583329;Mature
60;1847;302318013;Mature
65;1838;304213272;Mature
70;1834;304366287;Mature
75;1848;303796586;Mature
80;1840;304716444;Mature
85;1828;304252945;Mature
90;1832;304815565;Mature
95;1840;304859144;Mature
100;1840;304868483;Mature
