iteration;time_ms;energy_uj;stages
0;2457;250937590;Initial
5;2744;243803270;Initial
10;8837;356337650;Exploration
15;13452;375497879;Exploration
20;7944;338467517;Exploration
25;7760;329301159;Exploration
30;4473;302090413;Exploration
35;1407;253717734;Mature
40;1254;233648938;Mature
45;1285;239140623;Mature
50;3439;365437541;Mature
55;1247;233617811;Mature
60;1227;232519851;Mature
65;1224;232498977;Mature
70;1239;232839980;Mature
75;1232;233153761;Mature
80;1240;234691965;Mature
85;1228;233074050;Mature
90;1227;233862072;Mature
95;1240;235204903;Mature
100;2448;249258700;Initial
