iteration;time_ms;energy_uj;stages
0;102935;3608572611;Initial
5;93783;3422505826;Initial
10;142030;2861478942;Exploration
15;139966;2818619920;Exploration
20;140566;2803205837;Exploration
25;140843;2801087251;Exploration
30;140401;2764870913;Mature
35;139579;2754299895;Mature
40;140403;2753375153;Mature
45;139750;2756750755;Mature
50;139929;2756969688;Mature
55;139824;2761613413;Mature
60;140051;2754332304;Mature
65;139767;2756931358;Mature
70;139893;2757597677;Mature
75;139987;2754140593;Mature
80;139993;2755256679;Mature
85;137940;2791398860;Mature
90;140303;2758131978;Mature
95;139895;2760376479;Mature
100;140164;2758561114;Mature
