iteration;time_ms;energy_uj;stages
0;81183;4183550325;Initial
5;91489;3279046903;Initial
10;79443;3953372508;Exploration
15;78323;4044853475;Exploration
20;74242;4143992687;Exploration
25;69522;4018739346;Exploration
30;68555;3914658375;Mature
35;68474;3904838819;Mature
40;71127;4158929600;Mature
45;71915;4035972700;Mature
50;71820;4148338196;Mature
55;71035;3943157996;Mature
60;69733;4067758080;Mature
65;69684;4067943078;Mature
70;69484;4060248334;Mature
75;71893;4182598118;Mature
80;71027;4160478058;Mature
85;71422;4182362890;Mature
90;72047;4214915906;Mature
95;70050;4087711642;Mature
100;69728;4063028967;Mature
