iteration;time_ms;energy_uj;stages
0;20726;1386168387;Initial
5;23466;1386080008;Initial
10;26893;1353054154;Exploration
15;23282;1222490523;Exploration
20;20344;1343931496;Exploration
25;20807;1454918577;Exploration
30;14443;1361767632;Exploration
35;12108;1399741595;Exploration
40;7590;994916520;Mature
45;7456;983975142;Mature
50;7781;1018971208;Mature
55;7505;986199990;Mature
60;7302;966991177;Mature
65;7721;1012036472;Mature
70;7414;980450248;Mature
75;7953;1045677682;Mature
80;7378;973395579;Mature
85;7527;995358413;Mature
90;7410;975471746;Mature
95;7480;984924725;Mature
100;7461;982540820;Mature
