iteration;time_ms;energy_uj;stages
0;33518;2904438609;Initial_Initial_Initial
5;34114;2995113609;Initial_Initial_Initial
10;30604;2992656341;Exploration_Exploration_Exploration
15;31316;2794138355;Exploration_Exploration_Exploration
20;27865;2938848860;Exploration_Exploration_Exploration
25;24474;3001709539;Exploration_Exploration_Exploration
30;21886;2679450538;Exploration_Exploration_Exploration
35;22181;2764695804;Exploration_Exploration_Exploration
40;23533;2696446771;Exploration_Exploration_Exploration
45;25750;2804523155;Exploration_Exploration_Exploration
50;22008;2971045922;Mature_Mature_Mature
55;22136;2624793634;Mature_Mature_Mature
60;24121;2682343170;Mature_Mature_Mature
65;21941;2767041927;Mature_Mature_Mature
70;20427;2778848965;Mature_Mature_Mature
75;20752;2641339796;Mature_Mature_Mature
80;20083;2551517821;Mature_Mature_Mature
85;20988;2613521630;Mature_Mature_Mature
90;21108;2736046889;Mature_Mature_Mature
95;21267;2680633518;Mature_Mature_Mature
100;21542;2633435153;Mature_Mature_Mature
