iteration;time_ms;energy_uj;stages
0;92738;5415162346;Initial_Initial
5;90138;5736579675;Initial_Initial
10;93402;5261259846;Exploration_Exploration
15;94793;5073990916;Exploration_Exploration
20;98414;4967375894;Exploration_Exploration
25;95406;4957738712;Exploration_Exploration
30;87954;4952140521;Exploration_Exploration
35;91918;4740043774;Mature_Exploration
40;90794;4846501876;Mature_Exploration
45;88479;5089257724;Mature_Mature
50;80316;5796840141;Mature_Mature
55;79355;6147613413;Mature_Mature
60;82417;5237889972;Mature_Mature
65;89423;4603812189;Mature_Mature
70;82329;4985924187;Mature_Mature
75;89252;4620064894;Mature_Mature
80;79724;5408562509;Mature_Mature
85;89406;4624966920;Mature_Mature
90;89366;4609512308;Mature_Mature
95;79088;5920264385;Mature_Mature
100;80046;5573278396;Mature_Mature
