mode;time_ms;energy_uj
cfs;50971;263093891.0
cfs;52070;244748063.0
cfs;52342;241436367.00000003
cfs;53262;241505010.00000003
cfs;52960;233099793.0
cfs;52967;236494334.0
cfs;53203;237647852.0
cfs;53333;239763161.0
cfs;52523;234455821.0
cfs;53505;239451243.0
tetris;53176;239195081.0
tetris;53866;238707479.0
tetris;53422;236921971.99999997
tetris;53787;238214091.0
tetris;53665;238165172.99999997
tetris;53863;239019397.0
tetris;53489;237169718.0
tetris;53663;236977465.0
tetris;53649;237445868.0
tetris;53612;236766802.0
