mode;time_ms;energy_uj
cfs;54687;281664057.99999994
cfs;55351;258033770.99999997
cfs;56686;258306502.00000003
cfs;56374;255893477.0
cfs;56537;252897118.0
cfs;56661;253991987.0
cfs;56518;253169586.0
cfs;57198;253471510.00000003
cfs;57925;256752435.0
cfs;57021;254481167.0
tetris;54740;240656571.99999997
tetris;54119;239745277.0
tetris;54471;240206316.00000003
tetris;54398;240256023.0
tetris;54191;239185350.0
tetris;54039;238163858.00000003
tetris;54456;239237161.0
tetris;54211;239481750.99999997
tetris;55209;242909956.0
tetris;54217;239448875.99999997
