mode;time_ms;energy_uj
cfs;62795;278357885.0
cfs;63612;280850599.0
cfs;63442;280887155.99999994
cfs;62982;278306074.0
cfs;63630;281412892.99999994
cfs;62860;275513014.0
cfs;63858;281360030.0
cfs;63066;280159435.00000006
cfs;62687;274551223.0
cfs;63281;279122952.0
tetris;57257;251357253.0
tetris;57265;253235336.0
tetris;57099;250955914.99999997
tetris;57679;253780798.0
tetris;57541;253965950.0
tetris;57539;252892910.0
tetris;57885;256021295.0
tetris;57837;254301012.0
tetris;57274;250061452.0
tetris;57148;250151135.0
