mode;time_ms;energy_uj
cfs;65153;327182783.0
cfs;66387;303240315.0
cfs;67300;305132863.0
cfs;68551;310271356.99999994
cfs;68420;310323694.0
cfs;68461;308174984.0
cfs;67497;300178206.0
cfs;68110;305685426.0
cfs;68284;304716271.0
cfs;68553;308075833.00000006
tetris;63884;283871417.0
tetris;63416;280459518.0
tetris;63535;278907292.0
tetris;63368;282298940.0
tetris;63575;280552883.0
tetris;63373;283565811.0
tetris;63289;278454669.0
tetris;63651;283321221.00000006
tetris;63473;280825614.00000006
tetris;63575;282652149.0
