mode;time_ms;energy_uj
cfs;112378;425897729.0
cfs;113004;419342980.0
cfs;113501;420149075.00000006
cfs;114607;412775344.0
cfs;113314;417201108.0
cfs;114957;409691406.0
cfs;113407;418891409.0
cfs;113607;417235824.0
cfs;115015;411747277.0
cfs;113766;417679505.0
tetris;72933;350491684.0
tetris;72579;327695106.99999994
tetris;71883;320652493.00000006
tetris;71622;321942244.99999994
tetris;71700;320825021.0
tetris;72052;321396257.0
tetris;71930;321429657.99999994
tetris;71613;320458399.0
tetris;72053;322165269.0
tetris;70171;331471787.0
