mode;time_ms;energy_uj
cfs;169952;724821951.0
cfs;169707;727114259.0
cfs;169990;729739525.0000001
cfs;170141;729801329.9999999
cfs;169308;726208224.0
cfs;169806;727121623.0000001
cfs;170464;731801182.0
cfs;170464;730219237.0
cfs;169881;728592319.0
cfs;168847;723422528.0
tetris;176943;487027082.0
tetris;177144;489219450.0
tetris;174917;500831689.00000006
tetris;175002;503025634.99999994
tetris;175795;523615379.00000006
tetris;175387;500072671.0
tetris;175607;502236635.0
tetris;174704;501655667.99999994
tetris;175352;501980210.00000006
tetris;177453;488837837.0
