mode;time_ms;energy_uj
cfs;4784;15661387.000000002
cfs;4757;16119533.0
cfs;4697;15668225.0
cfs;4661;15605105.000000002
cfs;4671;15579857.0
cfs;4686;15432051.0
cfs;4651;15510162.0
cfs;4638;15520682.0
cfs;4656;15661124.000000002
cfs;4636;15629038.0
tetris;4792;16011177.0
tetris;4815;16057728.0
tetris;4805;16177130.000000002
tetris;4743;15343157.0
tetris;4770;16319675.999999998
tetris;4737;15410485.0
tetris;4778;16133998.000000002
tetris;4779;16093233.000000002
tetris;4675;15486755.0
tetris;4763;16227100.0
