mode;time_ms;energy_uj
cfs;10966;60513144.00000001
cfs;11392;58597715.00000001
cfs;11668;57410533.0
cfs;12101;55986388.0
cfs;11933;56232819.0
cfs;12104;55495630.0
cfs;12156;55109283.0
cfs;12180;54809726.0
cfs;12269;54811041.0
cfs;12326;54807096.0
tetris;14252;63383525.99999999
tetris;14363;62552445.99999999
tetris;14274;64371091.00000001
tetris;14364;62256570.99999999
tetris;14344;62372028.0
tetris;14330;63147614.99999999
tetris;14395;62475912.99999999
tetris;14391;61802896.0
tetris;14389;62507735.99999999
tetris;14338;62777837.0
