mode;time_ms;energy_uj
cfs;113998;369935011.0
cfs;113643;392242934.0
cfs;113552;382146101.0
cfs;114401;389693938.0
cfs;112506;378733413.0
cfs;114768;371406233.0
cfs;113974;366032354.0
cfs;114785;377551491.0
cfs;112491;376384297.0
cfs;113354;374817606.0
tetris;97604;200427039.99999997
tetris;97768;201419865.00000003
tetris;99036;204723934.0
tetris;97984;201419076.0
tetris;99484;202422421.0
tetris;97883;201208939.00000003
tetris;98079;201095586.0
tetris;97786;201318084.0
tetris;96953;200244780.99999997
tetris;97939;200462282.00000003
