mode;time_ms;energy_uj
cfs;90292;413329485.00000006
cfs;86459;396367826.00000006
cfs;87556;402062565.0
cfs;76994;352025237.0
cfs;78051;355923686.00000006
cfs;78463;359220917.0
cfs;77461;353790492.99999994
cfs;76230;347799616.0
cfs;75624;347600524.99999994
cfs;77179;354970311.00000006
tetris;47072;207507000.0
tetris;47045;207336313.0
tetris;47050;207990394.0
tetris;47097;207017557.0
tetris;47004;207632976.99999997
tetris;47039;207515416.00000003
tetris;47080;205962926.99999997
tetris;47057;207786831.99999997
tetris;45607;224707989.0
tetris;46644;211649250.0
