mode;time_ms;energy_uj
cfs;69086;319716739.0
cfs;68189;315994500.00000006
cfs;69007;316697762.0
cfs;68345;316788234.0
cfs;68989;317959898.99999994
cfs;69421;319288575.0
cfs;68920;317561717.0
cfs;68663;317060439.0
cfs;69136;318798869.0
cfs;69713;321978538.99999994
tetris;41642;182814719.0
tetris;41536;183679726.0
tetris;41469;183089291.0
tetris;41592;182877575.99999997
tetris;41468;183863300.0
tetris;41636;183008813.0
tetris;41488;184634942.00000003
tetris;41498;183999271.00000003
tetris;41529;183679199.99999997
tetris;41549;183737323.0
