mode;time_ms;energy_uj
cfs;160966;725639354.9999999
cfs;162825;734313884.0
cfs;161825;731880082.0
cfs;163754;740176943.0
cfs;164557;745051385.0
cfs;163166;735137863.0
cfs;162147;732180690.9999999
cfs;163546;738462709.0
cfs;164286;745740971.0
cfs;164306;743005508.0
tetris;93490;395686393.0
tetris;93565;396715774.99999994
tetris;94164;399568799.0
tetris;93814;394681996.0
tetris;93738;397320675.0
tetris;93777;397267023.0
tetris;93834;396599046.0
tetris;93826;393482716.00000006
tetris;94012;397387477.0
tetris;93681;396480127.00000006
