mode;time_ms;energy_uj
cfs;53317;256286399.00000003
cfs;55443;258852490.0000001
cfs;54940;258083478.0
cfs;57063;259371389.00000003
cfs;55646;252503144.00000003
cfs;56690;257245823.00000003
cfs;55797;255910309.0
cfs;54892;255194949.0
cfs;54179;249041275.0
cfs;55981;257578255.0
tetris;92014;133883305.99999997
tetris;93753;132913098.99999999
tetris;91007;128657232.99999999
tetris;92451;129874923.0
tetris;91446;128386869.00000001
tetris;93947;134206796.0
tetris;91692;128632248.0
tetris;91153;127718323.0
tetris;93375;131544446.99999999
tetris;92075;129519083.99999999
