mode;time_ms;energy_uj
cfs;110600;339206354.0
cfs;107173;332605843.0
cfs;106430;334246963.0
cfs;105390;347389335.99999994
cfs;107072;351009794.0
cfs;106742;335647701.0
cfs;106012;340385909.0
cfs;105999;342824182.0
cfs;106196;345058104.0
cfs;105751;349742923.0
tetris;98271;139078082.00000003
tetris;97293;135254851.0
tetris;97340;135584652.99999997
tetris;97587;134844308.0
tetris;97627;134652318.0
tetris;98285;135757707.0
tetris;98033;135198569.0
tetris;96857;133838333.0
tetris;96955;133650814.00000003
tetris;97412;134265971.0
