mode;time_ms;energy_uj
cfs;112327;437172276.0
cfs;112401;432859339.0
cfs;112191;430573869.0
cfs;112622;430454204.0
cfs;111931;436665212.0
cfs;112605;432777020.0
cfs;112430;432817522.0
cfs;112506;433346415.0
cfs;112435;435736296.0
cfs;111964;433350097.0
tetris;99762;246530676.99999997
tetris;100687;243875692.0
tetris;100041;244299385.0
tetris;99877;243422280.00000003
tetris;102023;247638959.0
tetris;100008;243871221.0
tetris;99953;244120019.0
tetris;100513;244554232.0
tetris;100324;243609273.0
tetris;100756;244268614.0
