mode;time_ms;energy_uj
cfs;148535;627961418.0000001
cfs;150470;626178015.0
cfs;151396;636174119.0
cfs;152696;638378322.0
cfs;152036;636756926.9999999
cfs;148350;615677477.0000001
cfs;142497;610805665.0
cfs;154239;625800610.0
cfs;155872;625288286.0
cfs;144418;604643575.0
tetris;130519;458250936.99999994
tetris;129926;458730649.0
tetris;129073;458966822.99999994
tetris;128774;457108201.99999994
tetris;128658;458303537.0
tetris;129676;458175719.0
tetris;131383;462735613.00000006
tetris;129412;459784490.0
tetris;129409;459184323.99999994
tetris;129432;456857037.0
