mode;time_ms;energy_uj
cfs;66616;309230665.99999994
cfs;66666;302644094.00000006
cfs;67044;305035027.0
cfs;67732;307539575.99999994
cfs;67305;308523459.0
cfs;67366;303877826.99999994
cfs;67602;307711052.0
cfs;67006;303725550.0
cfs;68036;310957524.00000006
cfs;66637;303735806.99999994
tetris;41313;179606118.99999997
tetris;41239;180896134.0
tetris;41203;181360592.0
tetris;41159;181348756.99999997
tetris;41274;179984839.0
tetris;41185;180671269.0
tetris;41269;181135464.0
tetris;41310;180505578.99999997
tetris;41223;180429571.99999997
tetris;41310;180375394.0
