mode;time_ms;energy_uj
cfs;28227;127431127.0
cfs;28446;126090879.0
cfs;28436;126759425.0
cfs;28462;127726476.0
cfs;28416;127706225.0
cfs;28393;127819841.0
cfs;28403;128170946.0
cfs;28417;127947659.0
cfs;28395;127927671.0
cfs;28402;128207766.0
tetris;28420;128563867.99999999
tetris;28390;128874733.99999999
tetris;28401;128309283.99999999
tetris;28419;128960208.99999999
tetris;28417;128754280.0
tetris;28399;128418165.99999999
tetris;28382;128941535.99999999
tetris;28440;128879204.99999999
tetris;28380;128659337.0
tetris;28376;129105648.0
