mode;time_ms;energy_uj
cfs;101530;214762644.00000003
cfs;101415;214185096.0
cfs;101424;213790070.0
cfs;101500;213880279.00000003
cfs;101390;214394444.0
cfs;101400;214125921.00000003
cfs;101523;213376897.0
cfs;101412;214345263.00000003
cfs;101419;213102588.0
cfs;101415;212588949.0
tetris;22423;108367309.0
tetris;22481;108153490.0
tetris;22496;109035066.00000001
tetris;22542;109264665.0
tetris;22540;109578687.0
tetris;22560;109876666.0
tetris;22552;109883241.00000001
tetris;22527;110161758.0
tetris;22546;109737013.0
tetris;22554;109740169.0
