mode;time_ms;energy_uj
cfs;65385;265061920.0
cfs;65325;266287500.00000003
cfs;65784;266951838.0
cfs;65619;265998989.0
cfs;65585;265488242.99999997
cfs;65732;266563387.0
cfs;65403;265359636.0
cfs;66056;265191053.0
cfs;65492;264398108.00000003
cfs;65491;267265597.0
tetris;62377;253887312.99999997
tetris;62103;253836028.0
tetris;62288;253233495.0
tetris;62476;252721434.0
tetris;62357;253644301.0
tetris;62373;252873185.0
tetris;62453;253278731.0
tetris;62438;253799471.0
tetris;62522;253711103.0
tetris;62351;253985412.0
