mode;time_ms;energy_uj
cfs;169081;716929584.0
cfs;169188;719066722.0
cfs;169167;720829347.9999999
cfs;169206;721706979.0
cfs;168570;718305862.9999999
cfs;168877;722111210.0
cfs;169266;721334045.0
cfs;169272;719236883.0
cfs;169135;719932781.0
cfs;168877;720143443.9999999
tetris;169902;459730838.0
tetris;167932;476960231.0
tetris;166832;477173261.0
tetris;166747;477572495.00000006
tetris;166666;473298482.0
tetris;166739;479909250.0
tetris;166493;477471503.0
tetris;166528;479336962.0
tetris;166298;475753324.0
tetris;167304;475206809.99999994
