mode;time_ms;energy_uj
cfs;62104;247197382.0
cfs;61851;247865139.0
cfs;61921;247000395.0
cfs;61441;247601087.0
cfs;61961;247464327.0
cfs;61762;248222556.00000003
cfs;61631;249130695.0
cfs;61648;248725149.0
cfs;61569;247100861.0
cfs;61752;247260239.0
tetris;62085;249546235.0
tetris;59912;254327311.99999997
tetris;59418;254291544.0
tetris;61765;249210647.00000003
tetris;61413;248918717.00000003
tetris;61451;250207417.00000003
tetris;61499;249832905.0
tetris;61907;248846655.00000003
tetris;61284;249569642.00000003
tetris;61795;248698323.00000003
