mode;time_ms;energy_uj
cfs;105355;398713786.0
cfs;106100;397236515.00000006
cfs;105545;396962206.0
cfs;105422;395773972.0
cfs;105517;396886725.0
cfs;105574;397143676.0
cfs;105504;395690075.0
cfs;105698;395942029.0
cfs;105507;395215360.00000006
cfs;105683;396388077.0
tetris;155153;231199091.99999997
tetris;155350;226920871.0
tetris;155371;226401972.0
tetris;155091;225693976.0
tetris;155348;225658208.0
tetris;154923;225301054.00000003
tetris;155080;225077241.00000003
tetris;155224;225627437.0
tetris;155088;225282907.0
tetris;155021;225221102.0
