mode;time_ms;energy_uj
cfs;10350;1094943852
cfs;10185;1085506254
cfs;10302;1103184127
cfs;10200;1089861407
cfs;10274;1092581432
cfs;10105;1083280430
cfs;10292;1103123824
cfs;10343;1105733009
cfs;10194;1091700453
cfs;10505;1119592653
td;10169;1097473204
td;10118;1088362448
td;10122;1091004471
td;10116;1092051037
td;10151;1092416027
td;11438;1195044853
td;10146;1088453695
td;15429;1241165280
td;10153;1086096401
td;10092;1084332857
tetris;10376;821796908
tetris;10298;818890726
tetris;10442;828180742
tetris;10296;821421969
tetris;10272;818429423
tetris;10269;818033489
tetris;10317;823033965
tetris;10281;821005650
tetris;10368;821795809
tetris;10404;819281289
tetris-offline;9595;910011342
tetris-offline;9532;923011342
tetris-offline;9522;900462417
tetris-offline;9491;880485112
tetris-offline;9465;884298273
tetris-offline;9604;903410041
tetris-offline;9510;897468345
tetris-offline;9424;891393958
tetris-offline;9542;907755427
tetris-offline;9462;896928978
tetris-noscaling;10963;1155174839
tetris-noscaling;10755;1146270137
tetris-noscaling;10968;1142332952
tetris-noscaling;11111;1160157248
tetris-noscaling;10963;1153173378
tetris-noscaling;11055;1167140994
tetris-noscaling;10797;1127210188
tetris-noscaling;10918;1149986070
tetris-noscaling;10855;1150031784
tetris-noscaling;11002;1169579648
tetris-grouped;10328;819486061
tetris-grouped;10512;831003488
tetris-grouped;10378;824799402
tetris-grouped;10902;871022245
tetris-grouped;10789;841312361
tetris-grouped;10410;821461703
tetris-grouped;10240;814179129
tetris-grouped;10447;829583875
tetris-grouped;10292;817683209
tetris-grouped;10347;819947181
overhead;10579;1127677289
overhead;11200;1173379015
overhead;10784;1131353732
overhead;11046;1170573846
overhead;10719;1132567168
overhead;11089;1171818534
overhead;11125;1173209521
overhead;11141;1165960150
overhead;10928;1163308790
overhead;10844;1160168234
