mode;time_ms;energy_uj
cfs;10763;1338257743
cfs;10764;1309743901
cfs;10889;1308869391
cfs;10739;1312603085
cfs;11011;1337597528
cfs;10858;1316028919
cfs;10782;1299328217
cfs;10838;1306551770
cfs;10973;1337001155
cfs;10917;1329774000
td;10647;1294331953
td;10767;1303586933
td;10744;1315309743
td;10703;1300618192
td;10872;1308450691
td;10679;1298519564
td;10922;1308872687
td;10785;1299095307
td;10800;1304440203
td;10827;1314606315
tetris;11830;1141391609
tetris;11778;1159176170
tetris;11282;1121309569
tetris;11612;1152686564
tetris;11109;1132304657
tetris;11806;1151129499
tetris;11974;1232114522
tetris;11252;1126753830
tetris;10780;1104666422
tetris;11220;1122382381
tetris-offline;9840;1135639548
tetris-offline;9809;1155615816
tetris-offline;9823;1133135816
tetris-offline;9783;1146812189
tetris-offline;9817;1154779087
tetris-offline;9896;1140316172
tetris-offline;9925;1138113481
tetris-offline;9823;1123213481
tetris-offline;9709;1138000688
tetris-offline;9891;1169367978
tetris-noscaling;13366;1466957731
tetris-noscaling;11891;1431524289
tetris-noscaling;11571;1404627691
tetris-noscaling;13047;1457082696
tetris-noscaling;11762;1403596871
tetris-noscaling;12812;1479277036
tetris-noscaling;13164;1485322614
tetris-noscaling;11616;1432798395
tetris-noscaling;11736;1436234299
tetris-noscaling;11445;1413895429
tetris-grouped;12882;1057323587
tetris-grouped;13396;1061421477
tetris-grouped;13073;1060880585
tetris-grouped;13015;1062510280
tetris-grouped;12923;1056208539
tetris-grouped;13132;1071157780
tetris-grouped;11983;1071915285
tetris-grouped;11996;1076251212
tetris-grouped;12346;1081771584
tetris-grouped;12236;1079414106
overhead;11383;1417989900
overhead;11121;1369228673
overhead;11181;1387196156
overhead;10988;1365533552
overhead;10811;1360788874
overhead;10892;1360430111
overhead;11063;1388362413
overhead;11931;1485595440
overhead;11931;1454800352
overhead;11176;1373998558
