mode;time_ms;energy_uj
cfs;7560;1050589656
cfs;9251;1154688634
cfs;10349;1291236989
cfs;10428;1300942776
cfs;10456;1304283038
cfs;9033;1126446274
cfs;9490;1183918783
cfs;11364;1418041963
cfs;9969;1243233207
cfs;9155;1141949835
td;10187;1271442302
td;10173;1269608078
td;10491;1309243414
td;9081;1133081084
td;10051;1254970725
td;10163;1268016957
td;9964;1244235706
td;10591;1321472753
td;10529;1313287959
td;9077;1133324797
tetris;7390;172536668
tetris;7468;175514810
tetris;7803;183485431
tetris;7411;171875841
tetris;7535;179288055
tetris;7440;173887189
tetris;7429;173769941
tetris;7385;176499182
tetris;7763;183854998
tetris;7568;177442294
tetris-offline;2528;58074314
tetris-offline;2489;57316870
tetris-offline;2490;57204932
tetris-offline;2484;57174842
tetris-offline;2546;58402011
tetris-offline;2512;57835728
tetris-offline;2556;58841341
tetris-offline;2491;57353246
tetris-offline;2485;57186194
tetris-offline;2546;58642795
tetris-noscaling;5448;519494093
tetris-noscaling;5011;465059234
tetris-noscaling;5388;517712541
tetris-noscaling;5399;502768489
tetris-noscaling;5514;534104041
tetris-noscaling;5274;486224158
tetris-noscaling;5291;490988306
tetris-noscaling;5302;497254953
tetris-noscaling;5494;515619468
tetris-noscaling;5418;528741627
tetris-grouped;4735;324797630
tetris-grouped;5280;360276238
tetris-grouped;4764;321038851
tetris-grouped;4922;337044730
tetris-grouped;4883;328386854
tetris-grouped;5034;342345682
tetris-grouped;4938;332985598
tetris-grouped;5007;338454273
tetris-grouped;5191;353703196
tetris-grouped;4963;333442505
overhead;5094;811365965
overhead;4911;790525015
overhead;6649;1003015132
overhead;7314;1018330767
overhead;8331;1145917721
overhead;8033;1108294892
overhead;8354;1146292293
overhead;8051;1109496427
overhead;7981;1103323774
overhead;7144;999004340
