mode;time_ms;energy_uj
cfs;11929;1604203413
cfs;13743;1717571042
cfs;13682;1710131914
cfs;13122;1640172742
cfs;14873;1858139531
cfs;14571;1820749246
cfs;14003;1750105017
cfs;14436;1805038837
cfs;14897;1860441954
cfs;13977;1745822984
td;14223;1779022728
td;15110;1889134141
td;13706;1711731397
td;14383;1799398226
td;14864;1858134587
td;13791;1723836469
td;14840;1853955459
td;14632;1829244463
td;13747;1717922543
td;14450;1806300491
tetris;9479;1149059803
tetris;6625;1023070928
tetris;9316;1137312274
tetris;6578;1005511036
tetris;6842;944896202
tetris;9437;1148614491
tetris;7006;1056583354
tetris;7495;1018607805
tetris;8327;1091452223
tetris;9707;1213567999
tetris-offline;4099;729684045
tetris-offline;4331;651503276
tetris-offline;4338;649627670
tetris-offline;4377;658159998
tetris-offline;4380;655653046
tetris-offline;4271;647504080
tetris-offline;4277;645664484
tetris-offline;4308;648025502
tetris-offline;4324;649944625
tetris-offline;4319;650492109
tetris-noscaling;8591;1128261089
tetris-noscaling;7564;1085806791
tetris-noscaling;8095;1107954988
tetris-noscaling;9615;1269547776
tetris-noscaling;7443;1063865624
tetris-noscaling;8235;1126249192
tetris-noscaling;9270;1229059232
tetris-noscaling;7660;1042713456
tetris-noscaling;9700;1212338633
tetris-noscaling;8497;1136672078
tetris-grouped;6751;1048187197
tetris-grouped;6938;971581131
tetris-grouped;10425;1415008035
tetris-grouped;7848;1073580930
tetris-grouped;8354;1150062303
tetris-grouped;7167;930608519
tetris-grouped;9630;1344230445
tetris-grouped;11297;1517952474
tetris-grouped;9471;1287847228
tetris-grouped;7042;986948096
overhead;12961;1729390165
overhead;12825;1711770032
overhead;13149;1754259547
overhead;13295;1769846726
overhead;13204;1760203257
overhead;14072;1869201758
overhead;12495;1671227960
overhead;12878;1718346859
overhead;13417;1783198194
overhead;12120;1624647696
