mode;time_ms;energy_uj
cfs;9494;1285381841
cfs;9966;1232479327
cfs;9945;1248357339
cfs;10256;1269839889
cfs;9793;1253116299
cfs;10048;1236133310
cfs;10197;1253881678
cfs;9552;1234047256
cfs;9691;1204654021
cfs;10219;1251138704
td;10844;1315268544
td;10371;1345973666
td;10783;1346027132
td;10944;1360085691
td;10486;1254387719
td;10731;1386497915
td;10086;1230504419
td;11440;1411145375
td;10860;1404682440
td;11880;1429802004
tetris;9881;1445731406
tetris;9273;1340308885
tetris;11007;1388967636
tetris;10147;1413275923
tetris;12876;1497467419
tetris;11237;1461924602
tetris;10903;1249068274
tetris;10936;1312290830
tetris;10930;1288045897
tetris;10903;1393923555
tetris-offline;6155;1039232691
tetris-offline;6318;899212725
tetris-offline;6302;897367210
tetris-offline;6297;896217371
tetris-offline;6219;886870045
tetris-offline;6218;886601490
tetris-offline;6321;900354629
tetris-offline;6357;904189031
tetris-offline;6491;921207603
tetris-offline;6243;889124555
tetris-noscaling;9391;1560854281
tetris-noscaling;11232;1493702291
tetris-noscaling;10114;1346767182
tetris-noscaling;9261;1255242880
tetris-noscaling;9248;1256095234
tetris-noscaling;9260;1256417743
tetris-noscaling;9258;1254768150
tetris-noscaling;9273;1257358719
tetris-noscaling;9352;1264880612
tetris-noscaling;9458;1281546463
tetris-grouped;8443;1351920428
tetris-grouped;8315;1064641745
tetris-grouped;8309;1113641558
tetris-grouped;8363;1093914985
tetris-grouped;8299;1166920108
tetris-grouped;8449;1080759014
tetris-grouped;8382;1102490525
tetris-grouped;8342;1110600978
tetris-grouped;8431;1107777681
tetris-grouped;8355;1129685401
overhead;10013;1421413414
overhead;10201;1362735220
overhead;10290;1284490669
overhead;9975;1334617433
overhead;9908;1359185242
overhead;10156;1333198491
overhead;9922;1372693935
overhead;9714;1296171181
overhead;9725;1332740485
overhead;10072;1366736125
