mode;time_ms;energy_uj
cfs;43902;6129165278
cfs;45442;5688959069
cfs;45446;5687575161
cfs;45478;5689801291
cfs;45515;5687838711
cfs;45463;5693141675
cfs;45465;5695481452
cfs;45385;5686247650
cfs;45415;5688942468
cfs;45582;5704216354
td;45069;5639258269
td;45042;5637001926
td;45112;5641753562
td;44987;5637043675
td;45302;5668398574
td;44947;5625338138
td;45140;5657424726
td;44995;5644569840
td;45248;5673888612
td;45087;5653876151
tetris;61093;5320432181
tetris;61065;5316688965
tetris;61054;5320812001
tetris;61096;5317385252
tetris;61062;5316912231
tetris;60980;5315589419
tetris;61005;5311919323
tetris;61033;5319018671
tetris;61085;5329821927
tetris;61205;5320965200
tetris-offline;44565;5914540462
tetris-offline;45785;5844019463
tetris-offline;46300;5913805478
tetris-offline;45970;5867375056
tetris-offline;45957;5866507870
tetris-offline;45665;5830239469
tetris-offline;45536;5811458145
tetris-offline;45380;5792596133
tetris-offline;45068;5751314866
tetris-offline;45274;5780518954
tetris-noscaling;70909;5746879270
tetris-noscaling;70793;5735618557
tetris-noscaling;70711;5728201339
tetris-noscaling;71147;5744809085
tetris-noscaling;70551;5726617053
tetris-noscaling;70659;5726433705
tetris-noscaling;70934;5733568879
tetris-noscaling;70801;5732974520
tetris-noscaling;71076;5741198132
tetris-noscaling;70742;5739440263
tetris-grouped;53860;6226480826
tetris-grouped;49467;6337152784
tetris-grouped;49452;6284065090
tetris-grouped;56392;5809904316
tetris-grouped;61068;5330283596
tetris-grouped;61019;5324262249
tetris-grouped;61150;5330866785
tetris-grouped;61080;5331922019
tetris-grouped;61108;5331348656
tetris-grouped;61128;5329309721
overhead;45986;6092165922
overhead;46232;5887985231
overhead;46453;5914160580
overhead;46095;5888602052
overhead;46103;5885901009
overhead;46669;5952303548
overhead;47029;5996341034
overhead;46164;5889963803
overhead;46438;5913303221
overhead;46407;5912798950
